Country/Region,Lat,Long,Confirmed,Deaths,Recovered,Active
Afghanistan,6380.55268,12729.471164,1936390,49098,798240,1089052
Albania,7736.8204000000005,3791.6403999999998,196702,5708,118877,72117
Algeria,5270.3732,312.0048,1179755,77972,755897,345886
Andorra,7991.184400000001,286.0984,94404,5423,69074,19907
Angola,-2106.1076,3360.2931999999996,22662,1078,6573,15011
Antigua and Barbuda,3207.4304,-11617.7232,4487,326,2600,1561
Argentina,-7222.2268,-11959.9396,4450658,97749,1680024,2672885
Armenia,7532.9908,8467.1816,1587173,27089,857482,702602
Australia,-48287.8376,212598.6532,960247,11387,711928,236932
Austria,8933.0456,2735.4188,2034986,71390,1638380,325216
Azerbaijan,7546.9028,8944.4572,1134717,14282,703402,417033
Bahamas,4704.8663799999995,-14670.747132,12100,1203,6047,4850
Bahrain,4893.17,9503.4,1755206,5115,1334787,415304
Bangladesh,4452.78,16986.9844,8754729,115633,3714702,4924394
Barbados,2480.4532,-11194.1216,10652,738,7444,2470
Belarus,10097.4424,5255.2392,4426759,28391,2771925,1626443
Belgium,9556.6604,840.3479679999999,6281116,963679,1627492,3689945
Belize,3231.7012000000004,-16637.5488,2636,222,1618,796
Benin,1749.8476,435.37039999999996,64406,1095,25911,37400
Bhutan,5172.6696,17001.5168,4971,0,2838,2133
Bolivia,-3062.5575999999996,-11954.6756,2170351,78032,571653,1520666
Bosnia and Herzegovina,8256.1892,3323.6708,396634,16373,207156,173105
Botswana,-4197.758,4640.7612,15306,120,2291,12895
Brazil,-2676.18,-9761.9564,89524967,3938034,54492873,31094060
Brunei,852.6364000000001,21568.8076,18168,226,15262,2680
Bulgaria,8033.973199999999,4791.3304,410722,17654,182621,210447
Burkina Faso,2300.8004,-293.5808,96153,5583,74876,15694
Burma,4120.2456,18039.728,25188,639,15476,9073
Burundi,-634.1428,5624.7532,11351,106,7361,3884
Cabo Verde,3109.2943999999998,-4331.8584,82732,854,38253,43625
Cambodia,2171.4,19724.3396,17079,0,13917,3162
Cameroon,723.424,2162.3948,844817,22354,588941,233522
Canada,120048.49040000001,-210464.1764,9356551,699566,0,8656985
Central African Republic,1242.8868,3936.6072,198659,2010,43318,153331
Chad,2905.3896,3521.6535999999996,64226,5523,48059,10644
Chile,-6706.9188,-13450.084,16935654,322480,13292593,3320581
China,204034.9524,693520.2876,14132002,672413,11466866,1992723
Colombia,859.3292,-13967.8924,6893122,236525,2823811,3832786
Comoros,-2189.354,8146.660400000001,15823,337,11473,4013
Congo (Brazzaville),-42.864000000000004,2975.6076,101609,2696,29132,69781
Congo (Kinshasa),-759.2004,4090.6356,427604,10888,135073,281643
Costa Rica,1832.7932,-15745.6392,347151,2037,116642,228472
Cote d'Ivoire,1417.52,-1042.8548,611062,4717,309368,296977
Croatia,8478.800000000001,2857.6,299218,10372,213360,75486
Cuba,4046.0903160000003,-14622.859396000005,216346,8145,170780,37421
Cyprus,6603.763199999999,6284.8212,107176,1962,65254,39960
Czechia,9365.69,2908.924,1146758,33364,651140,462254
Denmark,22213.422,486.91999999999996,1305978,60602,1057021,188355
Djibouti,2223.1188,8006.9764,336216,3011,255143,78062
Dominica,2898.02,-11537.748,2059,0,1659,400
Dominican Republic,3522.3116000000005,-13190.5876,2495433,61786,1211513,1222134
Ecuador,-344.2656,-14698.479200000002,4678496,346618,1772210,2559668
Egypt,5042.263964000001,5790.869624,4142819,186936,1197283,2758600
El Salvador,2593.3096,-16712.542,453036,11429,240972,200635
Equatorial Guinea,310.35040000000004,1930.3651999999997,153258,2246,35352,115660
Eritrea,2853.7272,7479.0724,11786,0,5724,6062
Estonia,11015.9164,4702.5568,216505,6826,137224,72455
