Country/Region,Deaths,Confirmed,Death Ratio (%)
Afghanistan,49098,1936390,2.535542943312039
Albania,5708,196702,2.9018515317587013
Algeria,77972,1179755,6.609168852855042
Andorra,5423,94404,5.7444599805093
Angola,1078,22662,4.756861706821993
Antigua and Barbuda,326,4487,7.265433474481836
Argentina,97749,4450658,2.1962819879667235
Armenia,27089,1587173,1.706745263433791
Australia,11387,960247,1.1858407263964377
Austria,71390,2034986,3.5081322426788195
Azerbaijan,14282,1134717,1.2586398194439672
Bahamas,1203,12100,9.942148760330578
Bahrain,5115,1755206,0.2914187850315006
Bangladesh,115633,8754729,1.3208061608760249
Barbados,738,10652,6.928276380022531
Belarus,28391,4426759,0.6413495742596332
Belgium,963679,6281116,15.342480540082368
Belize,222,2636,8.42185128983308
Benin,1095,64406,1.7001521597366702
Bhutan,0,4971,0.0
Bolivia,78032,2170351,3.5953631463297873
Bosnia and Herzegovina,16373,396634,4.127987010694999
Botswana,120,15306,0.7840062720501764
Brazil,3938034,89524967,4.398810892608316
Brunei,226,18168,1.2439453985028623
Bulgaria,17654,410722,4.298284484395771
Burkina Faso,5583,96153,5.806371096065646
Burma,639,25188,2.5369223439733206
Burundi,106,11351,0.9338384283323056
Cabo Verde,854,82732,1.0322487066673114
Cambodia,0,17079,0.0
Cameroon,22354,844817,2.6460168296802737
Canada,699566,9356551,7.476750781350949
Central African Republic,2010,198659,1.011784011799113
Chad,5523,64226,8.599321147198953
Chile,322480,16935654,1.9041484905159258
China,672413,14132002,4.7580873537946005
Colombia,236525,6893122,3.431318929216689
Comoros,337,15823,2.1298110345699297
Congo (Brazzaville),2696,101609,2.6533082699367183
Congo (Kinshasa),10888,427604,2.5462811386235864
Costa Rica,2037,347151,0.5867763595668744
Cote d'Ivoire,4717,611062,0.7719347627572979
Croatia,10372,299218,3.4663690018648605
Cuba,8145,216346,3.7648026771930145
Cyprus,1962,107176,1.8306337239680524
Czechia,33364,1146758,2.909419424150518
Denmark,60602,1305978,4.640353819130184
Djibouti,3011,336216,0.8955552382991887
Dominica,0,2059,0.0
Dominican Republic,61786,2495433,2.475963089371664
Ecuador,346618,4678496,7.408748452494135
Egypt,186936,4142819,4.512289820047653
El Salvador,11429,453036,2.5227575733495793
Equatorial Guinea,2246,153258,1.4655026165028906
Eritrea,0,11786,0.0
Estonia,6826,216505,3.152814022770837
Eswatini,763,63160,1.208043065231159
Ethiopia,5887,357928,1.644744194363112
Fiji,0,2266,0.0
Finland,30338,713167,4.253982587528587
France,3048524,21210926,14.37242296729525
Gabon,2497,330678,0.7551152480660945
Gambia,209,4845,4.313725490196078
Georgia,1266,85213,1.4856888033516014
Germany,871322,21059152,4.137498034108876
Ghana,6908,1246644,0.5541277221083164
Greece,19215,362615,5.299008590378225
Greenland,0,1507,0.0
Grenada,0,2466,0.0
Guatemala,49133,1273708,3.857477538022844
Guinea,2356,403605,0.5837390517956913
Guinea-Bissau,1291,122994,1.049644698115355
Guyana,1346,19089,7.051181308607052
Haiti,6663,333181,1.999813914959136
Holy See,0,1356,0.0
Honduras,37941,1228583,3.0881918437744944
Hungary,51053,396247,12.884135400394198
Iceland,1141,221241,0.5157271934225574
India,1111831,40883464,2.719512710566795
Indonesia,220272,4057909,5.4282143833190935
Iran,1024136,19339267,5.295629870563347
Iraq,121392,3093628,3.9239365560435835
Ireland,161948,2571918,6.296779290786097
Israel,31627,2677930,1.181024149249607
Italy,3707717,26745145,13.86314039426595
Jamaica,1005,61392,1.637021110242377
Japan,85559,1952495,4.3820342689738006
Jordan,1041,93144,1.1176243236279308
Kazakhstan,14621,2430707,0.6015122349176598
Kenya,10463,464603,2.252030227958063
Kosovo,5229,225972,2.314003504859009
Kuwait,23084,3120160,0.7398338546741193
Kyrgyzstan,14979,596200,2.512411942301241
Laos,0,2229,0.0
Latvia,2458,118383,2.076311632582381
Lebanon,3520,166607,2.112756366779307
Lesotho,98,6794,1.4424492198999117
Liberia,3341,51775,6.45292129406084
Libya,1612,62321,2.586608045442146
Liechtenstein,116,10351,1.1206646700801854
Lithuania,7019,188762,3.7184390926139796
Luxembourg,11624,501355,2.3185168194193735
Madagascar,1699,207296,0.8196009570855203
Malawi,1640,89666,1.8290098811143578
Malaysia,12971,876874,1.4792319078909855
Maldives,705,173602,0.4061013121968641
Mali,8229,151494,5.431898293001703
Malta,765,67483,1.1336188373368108
Mauritania,6720,219095,3.0671626463406287
Mauritius,1161,39448,2.9431149868180895
Mexico,1728277,14946202,11.563318895328727
Moldova,38196,1156957,3.3014191538665654
Monaco,425,11993,3.5437338447427664
Mongolia,0,16999,0.0
Montenegro,1379,72422,1.9041175333462206
Morocco,23170,1002746,2.310654941530557
Mozambique,361,58006,0.6223494121297797
Namibia,72,28836,0.24968789013732834
Nepal,1660,682623,0.24317961744623312
Netherlands,622314,5167516,12.042807414626292
New Zealand,2181,175979,1.2393524227322579
Nicaragua,4867,137545,3.5384783161874296
Niger,5948,102223,5.818651379826458
Nigeria,39416,1634040,2.4121808523659154
North Macedonia,21235,440483,4.820844391270492
Norway,25664,1008821,2.543959731210988
Oman,11804,2559773,0.46113463967312723
Pakistan,264729,12833994,2.062717186871055
Panama,51756,2378126,2.1763354843267346
Papua New Guinea,2,1185,0.16877637130801687
Paraguay,1663,156373,1.0634828263191216
Peru,652113,19263916,3.3851528422362303
Philippines,110892,2972611,3.7304578365618646
Poland,118018,2755525,4.282958782809083
Portugal,146603,3855363,3.8025731947938493
Qatar,7123,6377607,0.11168765965039866
Romania,140031,2363132,5.925652904704434
Russia,619385,45408411,1.3640314346168159
Rwanda,169,71242,0.23721961764127902
Saint Kitts and Nevis,0,1772,0.0
Saint Lucia,0,2236,0.0
Saint Vincent and the Grenadines,0,2771,0.0
San Marino,5086,74949,6.785947777822253
Sao Tome and Principe,950,46884,2.0262776213633646
Saudi Arabia,105150,12362961,0.8505244010718791
Senegal,7177,467457,1.5353283831454017
Serbia,28876,1376322,2.0980555422350293
Seychelles,0,3977,0.0
Sierra Leone,4186,95846,4.367422740646454
Singapore,2441,3502472,0.06969363352512169
Slovakia,2692,176429,1.5258262530536364
Slovenia,11326,186132,6.0849289751359255
Somalia,7006,206646,3.3903390339033903
South Africa,181979,11168743,1.6293597229339059
South Korea,33518,1647537,2.034430789718228
South Sudan,2006,118818,1.6882963860694506
Spain,3033030,27404045,11.067818637723008
Sri Lanka,1105,166865,0.6622119677583675
Sudan,35415,586392,6.039475299799451
Suriname,721,32247,2.2358669023475053
Sweden,448913,4973160,9.026715408311818
Switzerland,207858,3696604,5.622944735221842
Syria,973,20946,4.645278334765587
Taiwan*,840,55593,1.5109815984026767
Tajikistan,3915,383026,1.022123824492332
Tanzania,1985,49327,4.024165264459627
Thailand,6289,366527,1.715835395482461
Timor-Leste,0,2487,0.0
Togo,1295,47390,2.7326440177252587
Trinidad and Tobago,949,14967,6.3406160219148795
Tunisia,5250,126590,4.147247017931907
Turkey,466056,17903345,2.6031783446054355
US,11011411,224345948,4.908228161981334
Uganda,6,56688,0.010584250635055038
Ukraine,85248,3214085,2.652325623000014
United Arab Emirates,25387,3658838,0.6938541690011966
United Kingdom,3997775,26748587,14.945742741476401
Uruguay,2456,94742,2.5923033079310125
Uzbekistan,2938,678008,0.4333282203159845
Venezuela,4101,412231,0.9948305682978718
Vietnam,0,40675,0.0
West Bank and Gaza,1370,233461,0.5868217817965313
Western Sahara,63,901,6.992230854605993
Yemen,17707,67180,26.357546888955046
Zambia,2643,129421,2.042172444966427
Zimbabwe,881,50794,1.7344568256093238
